ID,Treatment,Replicate,AE
C1,Unexposed,1,61.39
C2,Unexposed,2,46.51
C3,Unexposed,3,51.72
C4,Unexposed,4,54.4
M1,Ordospora,1,70.01
M2,Ordospora,2,56.41
M3,Ordospora,3,59.88
