Plate,Date,Days.PostExposure,Sample.Round,Sample,Treatment,Food,Average,Feeding.Rate,Binary.Infection.Status,Infection.Status
5,7/16/24,17,3,CM2,Control,Medium,4.625,0.345361482,NA,Control
4,7/16/24,17,3,CM20,Control,Medium,3,0.46634649,NA,Control
4,7/16/24,17,3,CM21,Control,Medium,6.125,-0.1284589,NA,Control
4,7/16/24,17,3,CM24,Control,Medium,2.75,0.538855971,NA,Control
6,7/16/24,17,3,CM25,Control,Medium,6.125,0.033337779,NA,Control
4,7/16/24,17,3,CM28,Control,Medium,7.25,-0.268977827,NA,Control
5,7/16/24,17,3,CM29,Control,Medium,4.25,0.415825972,NA,Control
4,7/16/24,17,3,CM3,Control,Medium,2.875,0.501812835,NA,Control
6,7/16/24,17,3,CM34,Control,Medium,2.5,0.780077799,NA,Control
7,7/16/24,17,3,CM37,Control,Medium,5,0.501316656,NA,Control
4,7/16/24,17,3,CM38,Control,Medium,3.5,0.33788759,NA,Control
7,7/16/24,17,3,CM39,Control,Medium,3.75,0.741051716,NA,Control
6,7/16/24,17,3,CM40,Control,Medium,1.875,1.01981286,NA,Control
6,7/16/24,17,3,CM42,Control,Medium,2.125,0.915510241,NA,Control
7,7/16/24,17,3,CM44,Control,Medium,10.625,-0.126826513,NA,Control
6,7/16/24,17,3,CM45,Control,Medium,1.75,1.077306919,NA,Control
6,7/16/24,17,3,CM47,Control,Medium,4.75,0.245199561,NA,Control
6,7/16/24,17,3,CM5,Control,Medium,2.25,0.867878229,NA,Control
5,7/16/24,17,3,CM6,Control,Medium,6.625,0.045883148,NA,Control
5,7/16/24,17,3,CM7,Control,Medium,4.125,0.440703441,NA,Control
1,7/16/24,17,3,MH1,MicG,High,41.875,0.182463075,1,Infected
14,7/16/24,17,3,MH10,MicG,High,38.125,0.301589278,1,Infected
15,7/16/24,17,3,MH11,MicG,High,39.875,0.205063393,1,Infected
3,7/16/24,17,3,MH12,MicG,High,29.25,0.645966944,0,Uninfected
14,7/16/24,17,3,MH13,MicG,High,25.75,0.628618951,1,Infected
13,7/16/24,17,3,MH14,MicG,High,24.625,0.726378638,1,Infected
1,7/16/24,17,3,MH15,MicG,High,45.625,0.110990724,1,Infected
13,7/16/24,17,3,MH16,MicG,High,40.25,0.316922124,1,Infected
16,7/16/24,17,3,MH19,MicG,High,34,0.541623313,0,Uninfected
15,7/16/24,17,3,MH2,MicG,High,43,0.142187931,1,Infected
13,7/16/24,17,3,MH20,MicG,High,47.625,0.176715599,1,Infected
13,7/16/24,17,3,MH21,MicG,High,39.375,0.335237879,1,Infected
16,7/16/24,17,3,MH22,MicG,High,52.75,0.175620606,0,Uninfected
3,7/16/24,17,3,MH23,MicG,High,47.25,0.24632271,1,Infected
1,7/16/24,17,3,MH24,MicG,High,28.125,0.51415485,0,Uninfected
2,7/16/24,17,3,MH26,MicG,High,47,0.210413136,1,Infected
15,7/16/24,17,3,MH27,MicG,High,32.5,0.375487953,1,Infected
3,7/16/24,17,3,MH28,MicG,High,41.875,0.346959096,1,Infected
16,7/16/24,17,3,MH29,MicG,High,31.625,0.601967128,0,Uninfected
16,7/16/24,17,3,MH3,MicG,High,25.375,0.785453386,1,Infected
13,7/16/24,17,3,MH30,MicG,High,47.875,0.172352587,1,Infected
3,7/16/24,17,3,MH31,MicG,High,17.25,1.086023135,0,Uninfected
16,7/16/24,17,3,MH32,MicG,High,35.125,0.514496144,1,Infected
2,7/16/24,17,3,MH33,MicG,High,47.125,0.208199766,1,Infected
2,7/16/24,17,3,MH36,MicG,High,38,0.387547671,1,Infected
15,7/16/24,17,3,MH4,MicG,High,43.75,0.12777835,1,Infected
2,7/16/24,17,3,MH41,MicG,High,37.875,0.390293418,1,Infected
2,7/16/24,17,3,MH43,MicG,High,43.5,0.274902022,1,Infected
14,7/16/24,17,3,MH46,MicG,High,42.125,0.21844665,1,Infected
14,7/16/24,17,3,MH48,MicG,High,26.75,0.596869079,0,Uninfected
14,7/16/24,17,3,MH49,MicG,High,37.75,0.309826578,1,Infected
1,7/16/24,17,3,MH6,MicG,High,33.25,0.374658261,1,Infected
15,7/16/24,17,3,MH7,MicG,High,34.5,0.325721924,1,Infected
1,7/16/24,17,3,MH8,MicG,High,33.25,0.374658261,1,Infected
3,7/16/24,17,3,MH9,MicG,High,28.5,0.667613182,1,Infected
8,7/16/24,17,3,ML16,MicG,Low,0.875,0.87485177,0,Uninfected
8,7/16/24,17,3,ML20,MicG,Low,1.625,0.358985763,1,Infected
11,7/16/24,17,3,ML22,MicG,Low,3.5,-0.094440571,0,Uninfected
9,7/16/24,17,3,ML25,MicG,Low,1.625,0.358985763,0,Uninfected
11,7/16/24,17,3,ML30,MicG,Low,2.25,0.273753389,0,Uninfected
9,7/16/24,17,3,ML31,MicG,Low,2.625,-0.04065847,0,Uninfected
9,7/16/24,17,3,ML34,MicG,Low,1.625,0.358985763,0,Uninfected
9,7/16/24,17,3,ML37,MicG,Low,0.875,0.87485177,0,Uninfected
8,7/16/24,17,3,ML4,MicG,Low,1,0.76357561,1,Infected
12,7/16/24,17,3,ML40,MicG,Low,2,0.09815253,0,Uninfected
12,7/16/24,17,3,ML46,MicG,Low,0.875,0.787051341,0,Uninfected
8,7/16/24,17,3,ML5,MicG,Low,0.75,1.00331067,1,Infected
11,7/16/24,17,3,ML50,MicG,Low,1.875,0.42568802,0,Uninfected
9,7/16/24,17,3,ML6,MicG,Low,3.125,-0.185952959,1,Infected
8,7/16/24,17,3,ML7,MicG,Low,1.25,0.57762265,0,Uninfected
7,7/16/24,17,3,MM1,MicG,Medium,8.375,0.071472351,0,Uninfected
6,7/16/24,17,3,MM11,MicG,Medium,5.875,0.068065026,1,Infected
5,7/16/24,17,3,MM13,MicG,Medium,2.25,0.945816611,1,Infected
6,7/16/24,17,3,MM19,MicG,Medium,5.75,0.085986864,0,Uninfected
4,7/16/24,17,3,MM2,MicG,Medium,4.5,0.1284589,0,Uninfected
7,7/16/24,17,3,MM27,MicG,Medium,8.875,0.023149637,1,Infected
4,7/16/24,17,3,MM29,MicG,Medium,0.75,1.621591791,0,Uninfected
5,7/16/24,17,3,MM33,MicG,Medium,4,0.46634649,1,Infected
7,7/16/24,17,3,MM39,MicG,Medium,6.875,0.235938547,0,Uninfected
7,7/16/24,17,3,MM44,MicG,Medium,7.625,0.149654647,1,Infected
5,7/16/24,17,3,MM46,MicG,Medium,4.625,0.345361482,0,Uninfected
7,7/16/24,17,3,MM47,MicG,Medium,8.5,0.059126447,1,Infected
4,7/16/24,17,3,MM5,MicG,Medium,6,-0.111276161,1,Infected
6,7/16/24,17,3,MM6,MicG,Medium,5.25,0.161796679,0,Uninfected
6,7/23/24,24,4,CH12,Control,High,19.625,0.939919238,NA,Control
6,7/23/24,24,4,CH13,Control,High,24.5,0.755028526,NA,Control
7,7/23/24,24,4,CH15,Control,High,20,0.769802289,NA,Control
11,7/23/24,24,4,CH16,Control,High,19.625,0.831827951,NA,Control
7,7/23/24,24,4,CH17,Control,High,20.75,0.739123978,NA,Control
3,7/23/24,24,4,CH18,Control,High,17.25,0.89099867,NA,Control
1,7/23/24,24,4,CH19,Control,High,16.75,0.990779106,NA,Control
2,7/23/24,24,4,CH20,Control,High,27.375,0.638155303,NA,Control
2,7/23/24,24,4,CH21,Control,High,12.375,1.29978187,NA,Control
7,7/23/24,24,4,CH22,Control,High,18.625,0.829158547,NA,Control
6,7/23/24,24,4,CH24,Control,High,28,0.643752366,NA,Control
11,7/23/24,24,4,CH25,Control,High,17.125,0.945382017,NA,Control
7,7/23/24,24,4,CH26,Control,High,18.125,0.851835683,NA,Control
7,7/23/24,24,4,CH27,Control,High,16.125,0.949270131,NA,Control
2,7/23/24,24,4,CH28,Control,High,16.75,1.047515245,NA,Control
2,7/23/24,24,4,CH29,Control,High,11.75,1.342969426,NA,Control
12,7/23/24,24,4,CH30,Control,High,28.75,0.59376955,NA,Control
6,7/23/24,24,4,CH31,Control,High,16,1.110098856,NA,Control
3,7/23/24,24,4,CH32,Control,High,18.625,0.827088152,NA,Control
6,7/23/24,24,4,CH33,Control,High,17.75,1.023601528,NA,Control
3,7/23/24,24,4,CH36,Control,High,17.5,0.879008055,NA,Control
12,7/23/24,24,4,CH37,Control,High,16.125,1.075658637,NA,Control
1,7/23/24,24,4,CH39,Control,High,12.375,1.243045731,NA,Control
1,7/23/24,24,4,CH42,Control,High,23.625,0.70418976,NA,Control
3,7/23/24,24,4,CH43,Control,High,19.375,0.794189143,NA,Control
3,7/23/24,24,4,CH44,Control,High,20.75,0.737053584,NA,Control
12,7/23/24,24,4,CH45,Control,High,21.5,0.835923576,NA,Control
2,7/23/24,24,4,CH49,Control,High,18.625,0.959093157,NA,Control
1,7/23/24,24,4,CH5,Control,High,16.125,1.022468602,NA,Control
12,7/23/24,24,4,CH50,Control,High,13.875,1.200893806,NA,Control
11,7/23/24,24,4,CH6,Control,High,18.375,0.8866723,NA,Control
1,7/23/24,24,4,CH9,Control,High,18.5,0.907968711,NA,Control
9,7/23/24,24,4,CL10,Control,Low,1,0.57762265,NA,Control
8,7/23/24,24,4,CL11,Control,Low,1.125,0.529990639,NA,Control
10,7/23/24,24,4,CL12,Control,Low,4.875,-0.021646239,NA,Control
9,7/23/24,24,4,CL15,Control,Low,-0.125,NA,NA,Control
9,7/23/24,24,4,CL17,Control,Low,2.875,-0.302421245,NA,Control
8,7/23/24,24,4,CL18,Control,Low,0.25,1.78338847,NA,Control
9,7/23/24,24,4,CL20,Control,Low,0.375,1.394980361,NA,Control
8,7/23/24,24,4,CL21,Control,Low,0.875,0.739419329,NA,Control
9,7/23/24,24,4,CL27,Control,Low,0.75,0.817357711,NA,Control
8,7/23/24,24,4,CL30,Control,Low,1,0.628143169,NA,Control
8,7/23/24,24,4,CL31,Control,Low,-0.5,NA,NA,Control
10,7/23/24,24,4,CL35,Control,Low,4.75,0,NA,Control
8,7/23/24,24,4,CL36,Control,Low,1.875,0.104302619,NA,Control
8,7/23/24,24,4,CL37,Control,Low,0,NA,NA,Control
10,7/23/24,24,4,CL37,Control,Low,3.5,0.254484708,NA,Control
8,7/23/24,24,4,CL40,Control,Low,1,0.628143169,NA,Control
9,7/23/24,24,4,CL41,Control,Low,0.875,0.688898811,NA,Control
9,7/23/24,24,4,CL47,Control,Low,0.25,1.732867951,NA,Control
9,7/23/24,24,4,CL50,Control,Low,1.125,0.479470121,NA,Control
10,7/23/24,24,4,CL6,Control,Low,1.625,0.893864002,NA,Control
8,7/23/24,24,4,CL8,Control,Low,1.75,0.161796679,NA,Control
5,7/23/24,24,4,CM14,Control,Medium,1.625,0.977266884,NA,Control
5,7/23/24,24,4,CM17,Control,Medium,2.375,0.661025533,NA,Control
4,7/23/24,24,4,CM20,Control,Medium,5.25,0.268977827,NA,Control
4,7/23/24,24,4,CM24,Control,Medium,1.375,1.385456448,NA,Control
4,7/23/24,24,4,CM3,Control,Medium,2.5,0.887258947,NA,Control
4,7/23/24,24,4,CM34,Control,Medium,4.5,0.397436727,NA,Control
5,7/23/24,24,4,CM37,Control,Medium,4.25,0.176090911,NA,Control
4,7/23/24,24,4,CM38,Control,Medium,3.625,0.57762265,NA,Control
5,7/23/24,24,4,CM39,Control,Medium,1.5,1.04396914,NA,Control
4,7/23/24,24,4,CM40,Control,Medium,3.875,0.522046505,NA,Control
5,7/23/24,24,4,CM42,Control,Medium,3.625,0.308644824,NA,Control
4,7/23/24,24,4,CM45,Control,Medium,2.5,0.887258947,NA,Control
5,7/23/24,24,4,CM5,Control,Medium,2.625,0.57762265,NA,Control
4,7/23/24,24,4,CM7,Control,Medium,3.375,0.637171787,NA,Control
1,7/23/24,24,4,MH1,MicG,High,37.625,0.316387052,1,Infected
7,7/23/24,24,4,MH10,MicG,High,41.5,0.161501328,1,Infected
11,7/23/24,24,4,MH11,MicG,High,26.375,0.585484344,1,Infected
7,7/23/24,24,4,MH12,MicG,High,21,0.729143819,0,Uninfected
7,7/23/24,24,4,MH13,MicG,High,38.875,0.215953041,1,Infected
12,7/23/24,24,4,MH14,MicG,High,47,0.184178021,1,Infected
1,7/23/24,24,4,MH15,MicG,High,34.25,0.394705517,1,Infected
7,7/23/24,24,4,MH16,MicG,High,33.625,0.336854319,1,Infected
11,7/23/24,24,4,MH19,MicG,High,26.375,0.585484344,0,Uninfected
3,7/23/24,24,4,MH2,MicG,High,36,0.277909674,1,Infected
11,7/23/24,24,4,MH20,MicG,High,44.5,0.149590513,1,Infected
12,7/23/24,24,4,MH21,MicG,High,32.125,0.501272236,1,Infected
6,7/23/24,24,4,MH23,MicG,High,28.375,0.632665728,1,Infected
2,7/23/24,24,4,MH24,MicG,High,23.75,0.756528352,0,Uninfected
1,7/23/24,24,4,MH26,MicG,High,41.25,0.23973506,1,Infected
3,7/23/24,24,4,MH27,MicG,High,31.25,0.395825976,1,Infected
6,7/23/24,24,4,MH28,MicG,High,31.375,0.548913293,1,Infected
11,7/23/24,24,4,MH29,MicG,High,17,0.95148705,0,Uninfected
11,7/23/24,24,4,MH3,MicG,High,34.75,0.35568186,1,Infected
6,7/23/24,24,4,MH30,MicG,High,45.25,0.243753899,1,Infected
6,7/23/24,24,4,MH31,MicG,High,16.625,1.078166469,0,Uninfected
3,7/23/24,24,4,MH32,MicG,High,36.875,0.257897277,1,Infected
2,7/23/24,24,4,MH33,MicG,High,37.75,0.370359231,1,Infected
7,7/23/24,24,4,MH36,MicG,High,41.125,0.169065676,1,Infected
3,7/23/24,24,4,MH4,MicG,High,33.625,0.334783924,1,Infected
2,7/23/24,24,4,MH41,MicG,High,34.375,0.44840583,1,Infected
2,7/23/24,24,4,MH43,MicG,High,32.75,0.488761325,1,Infected
2,7/23/24,24,4,MH46,MicG,High,32.875,0.485586718,1,Infected
12,7/23/24,24,4,MH48,MicG,High,19.625,0.911964136,0,Uninfected
12,7/23/24,24,4,MH49,MicG,High,34.125,0.450942478,1,Infected
1,7/23/24,24,4,MH6,MicG,High,38,0.308122521,1,Infected
3,7/23/24,24,4,MH7,MicG,High,36.75,0.260726934,1,Infected
1,7/23/24,24,4,MH8,MicG,High,32.75,0.432025186,1,Infected
6,7/23/24,24,4,MH9,MicG,High,53.625,0.10224331,1,Infected
9,7/23/24,24,4,ML16,MicG,Low,-0.5,NA,0,Uninfected
8,7/23/24,24,4,ML30,MicG,Low,0.25,1.78338847,0,Uninfected
10,7/23/24,24,4,ML34,MicG,Low,3.375,0.284791078,0,Uninfected
9,7/23/24,24,4,ML50,MicG,Low,1.625,0.173032804,0,Uninfected
10,7/23/24,24,4,ML9,MicG,Low,3.875,0.169665796,1,Infected
4,7/23/24,24,4,MM1,MicG,Medium,5.75,0.193168012,0,Uninfected
5,7/23/24,24,4,MM29,MicG,Medium,3.25,0.399644234,0,Uninfected
5,7/23/24,24,4,MM39,MicG,Medium,2.375,0.661025533,0,Uninfected
4,7/23/24,24,4,MM6,MicG,Medium,4.125,0.469946208,0,Uninfected
